date,exdate,strike_price,Midquote Premium,impl_volatility,volume
18/1/2024,17/1/2025,100,0.615,0.367527,626
18/1/2024,17/1/2025,105,0.755,0.357031,3
18/1/2024,17/1/2025,110,0.92,0.346791,0
18/1/2024,17/1/2025,115,1.115,0.336836,299
18/1/2024,17/1/2025,120,1.345,0.327216,141
18/1/2024,17/1/2025,125,1.63,0.318524,22
18/1/2024,17/1/2025,130,1.965,0.31008,112
18/1/2024,17/1/2025,135,2.355,0.301688,95
18/1/2024,17/1/2025,140,2.82,0.293828,421
18/1/2024,17/1/2025,145,3.35,0.28576,31
18/1/2024,17/1/2025,150,4,0.278764,74
18/1/2024,17/1/2025,155,4.75,0.27176,19
18/1/2024,17/1/2025,160,5.625,0.265093,172
18/1/2024,17/1/2025,165,6.65,0.258795,72
18/1/2024,17/1/2025,170,7.825,0.252658,667
18/1/2024,17/1/2025,175,9.175,0.246661,105
18/1/2024,17/1/2025,180,10.675,0.240269,1357
18/1/2024,17/1/2025,185,12.4,0.234193,1059
18/1/2024,17/1/2025,190,14.4,0.228911,320
18/1/2024,17/1/2025,195,16.6,0.223016,170
18/1/2024,17/1/2025,200,19.125,0.217882,819
18/1/2024,17/1/2025,205,21.95,0.212996,164
18/1/2024,17/1/2025,210,24.925,0.205139,1
18/1/2024,17/1/2025,215,28.6,0.203443,0
18/1/2024,17/1/2025,220,32.475,0.19925,2
18/1/2024,17/1/2025,225,36.675,0.192626,5
18/1/2024,17/1/2025,230,40.95,,4
