date,days,rate
18/1/2024,10,5.383037
18/1/2024,30,5.38609
18/1/2024,60,5.387245
18/1/2024,91,5.384273
18/1/2024,122,5.377241
18/1/2024,152,5.366736
18/1/2024,182,5.352752
18/1/2024,273,5.290686
18/1/2024,365,5.201423
18/1/2024,547,4.964184
18/1/2024,730,4.674396
19/1/2024,10,5.371092
19/1/2024,30,5.374317
19/1/2024,60,5.375753
19/1/2024,91,5.373098
19/1/2024,122,5.366409
19/1/2024,152,5.356257
19/1/2024,182,5.342646
19/1/2024,273,5.28182
19/1/2024,365,5.193928
19/1/2024,547,4.95955
19/1/2024,730,4.672496
22/1/2024,10,5.364285
22/1/2024,30,5.36731
22/1/2024,60,5.368495
22/1/2024,91,5.365639
22/1/2024,122,5.358805
22/1/2024,152,5.348564
22/1/2024,182,5.334911
22/1/2024,273,5.274223
22/1/2024,365,5.186822
22/1/2024,547,4.954173
22/1/2024,730,4.669402
23/1/2024,10,5.354468
23/1/2024,30,5.357652
23/1/2024,60,5.359092
23/1/2024,91,5.35652
23/1/2024,122,5.349989
23/1/2024,152,5.340057
23/1/2024,182,5.32673
23/1/2024,273,5.267103
23/1/2024,365,5.180858
23/1/2024,547,4.950584
23/1/2024,730,4.668044
24/1/2024,10,5.342716
24/1/2024,30,5.346192
24/1/2024,60,5.348077
24/1/2024,91,5.345973
24/1/2024,122,5.339917
24/1/2024,152,5.330452
24/1/2024,182,5.317595
24/1/2024,273,5.259415
24/1/2024,365,5.174636
24/1/2024,547,4.947142
24/1/2024,730,4.667029
25/1/2024,10,5.338147
25/1/2024,30,5.341428
25/1/2024,60,5.343061
25/1/2024,91,5.340745
25/1/2024,122,5.334523
25/1/2024,152,5.324939
25/1/2024,182,5.312003
25/1/2024,273,5.253803
25/1/2024,365,5.169298
25/1/2024,547,4.942994
25/1/2024,730,4.664569
26/1/2024,10,5.327349
26/1/2024,30,5.330874
26/1/2024,60,5.33288
26/1/2024,91,5.330959
26/1/2024,122,5.325141
26/1/2024,152,5.315955
26/1/2024,182,5.303424
26/1/2024,273,5.246476
26/1/2024,365,5.163253
26/1/2024,547,4.939419
26/1/2024,730,4.663192
29/1/2024,10,5.325091
29/1/2024,30,5.32825
29/1/2024,60,5.329762
29/1/2024,91,5.327393
29/1/2024,122,5.321189
29/1/2024,152,5.311687
29/1/2024,182,5.298891
29/1/2024,273,5.241444
29/1/2024,365,5.158123
29/1/2024,547,4.935033
29/1/2024,730,4.660363
30/1/2024,10,5.32382
30/1/2024,30,5.326596
30/1/2024,60,5.327582
30/1/2024,91,5.324732
30/1/2024,122,5.318107
30/1/2024,152,5.308252
30/1/2024,182,5.295157
30/1/2024,273,5.237093
30/1/2024,365,5.153549
30/1/2024,547,4.930951
30/1/2024,730,4.657598
31/1/2024,10,5.314816
31/1/2024,30,5.317793
31/1/2024,60,5.319087
31/1/2024,91,5.316561
31/1/2024,122,5.310263
31/1/2024,152,5.300729
31/1/2024,182,5.287956
31/1/2024,273,5.230877
31/1/2024,365,5.14832
31/1/2024,547,4.927558
31/1/2024,730,4.655744
1/2/2024,10,5.312198
1/2/2024,30,5.314857
1/2/2024,60,5.315711
1/2/2024,91,5.312775
1/2/2024,122,5.306114
1/2/2024,152,5.296268
1/2/2024,182,5.283223
1/2/2024,273,5.225535
1/2/2024,365,5.142659
1/2/2024,547,4.921949
1/2/2024,730,4.650777
2/2/2024,10,5.306637
2/2/2024,30,5.309319
2/2/2024,60,5.310218
2/2/2024,91,5.307344
2/2/2024,122,5.300758
2/2/2024,152,5.290997
2/2/2024,182,5.278047
2/2/2024,273,5.220708
2/2/2024,365,5.138254
2/2/2024,547,4.918477
2/2/2024,730,4.648209
5/2/2024,10,5.303884
5/2/2024,30,5.306557
5/2/2024,60,5.307462
5/2/2024,91,5.304614
5/2/2024,122,5.298074
5/2/2024,152,5.288375
5/2/2024,182,5.275503
5/2/2024,273,5.218486
5/2/2024,365,5.136467
5/2/2024,547,4.917757
5/2/2024,730,4.648634
6/2/2024,10,5.300033
6/2/2024,30,5.302966
6/2/2024,60,5.304255
6/2/2024,91,5.301796
6/2/2024,122,5.295637
6/2/2024,152,5.286299
6/2/2024,182,5.27378
6/2/2024,273,5.217783
6/2/2024,365,5.136706
6/2/2024,547,4.919562
6/2/2024,730,4.651546
7/2/2024,10,5.295543
7/2/2024,30,5.298876
7/2/2024,60,5.300748
7/2/2024,91,5.29887
7/2/2024,122,5.293271
7/2/2024,152,5.284454
7/2/2024,182,5.272436
7/2/2024,273,5.217836
7/2/2024,365,5.137984
7/2/2024,547,4.92271
7/2/2024,730,4.655844
8/2/2024,10,5.289924
8/2/2024,30,5.293826
8/2/2024,60,5.296524
8/2/2024,91,5.295465
8/2/2024,122,5.29065
8/2/2024,152,5.282559
8/2/2024,182,5.271236
8/2/2024,273,5.218549
8/2/2024,365,5.140348
8/2/2024,547,4.927534
8/2/2024,730,4.662125
9/2/2024,10,5.28261
9/2/2024,30,5.287259
9/2/2024,60,5.291037
9/2/2024,91,5.291044
9/2/2024,122,5.287245
9/2/2024,152,5.28009
9/2/2024,182,5.269657
9/2/2024,273,5.219403
9/2/2024,365,5.143265
9/2/2024,547,4.93344
9/2/2024,730,4.669715
12/2/2024,10,5.280726
12/2/2024,30,5.285627
12/2/2024,60,5.289776
12/2/2024,91,5.290162
12/2/2024,122,5.286736
12/2/2024,152,5.279936
12/2/2024,182,5.269852
12/2/2024,273,5.220615
12/2/2024,365,5.145436
12/2/2024,547,4.937268
12/2/2024,730,4.674834
13/2/2024,10,5.283612
13/2/2024,30,5.288602
13/2/2024,60,5.292897
13/2/2024,91,5.293447
13/2/2024,122,5.290197
13/2/2024,152,5.283579
13/2/2024,182,5.273687
13/2/2024,273,5.225088
